Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
2024146016.txt,7151,493,1166,909,530,364,236,163,660,14.5051,13.4925,7.8669,1.8438,2.2000,1.7151,0.4004,0.6868,1.0751,0.4453,0.3075,0.1793,1.2453,0.7261
2024147009.txt,4023,150,477,362,178,168,107,92,540,26.8200,22.6011,11.1133,2.4133,2.6798,2.0337,0.4641,0.9438,1.1867,0.6011,0.5169,0.2541,3.0337,1.4917
2024666666.txt,474,21,53,39,21,16,9,14,63,22.5714,22.5714,12.1538,1.8571,2.5238,1.8571,0.4103,0.7619,1.0000,0.4286,0.6667,0.3590,3.0000,1.6154
2024147007.txt,1541,82,194,163,100,61,47,49,171,18.7927,15.4100,9.4540,1.9878,1.9400,1.6300,0.3742,0.6100,1.2195,0.4700,0.4900,0.3006,1.7100,1.0491
2024145103.txt,1372,49,173,123,56,63,22,47,117,28.0000,24.5000,11.1545,2.5102,3.0893,2.1964,0.5122,1.1250,1.1429,0.3929,0.8393,0.3821,2.0893,0.9512
