Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
AL.txt,181,9,21,15,9,6,5,8,21,20.1111,20.1111,12.0667,1.6667,2.3333,1.6667,0.4000,0.6667,1.0000,0.5556,0.8889,0.5333,2.3333,1.4000
SH.txt,173,7,18,13,7,6,4,4,22,24.7143,24.7143,13.3077,1.8571,2.5714,1.8571,0.4615,0.8571,1.0000,0.5714,0.5714,0.3077,3.1429,1.6923
SJ.txt,210,13,33,27,14,10,8,1,25,16.1538,15.0000,7.7778,2.0769,2.3571,1.9286,0.3704,0.7143,1.0769,0.5714,0.0714,0.0370,1.7857,0.9259
