Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
2023324063.txt,209,7,14,11,7,4,4,2,30,29.8571,29.8571,19.0000,1.5714,2.0000,1.5714,0.3636,0.5714,1.0000,0.5714,0.2857,0.1818,4.2857,2.7273
2022314361.txt,230,9,19,15,9,6,5,5,29,25.5556,25.5556,15.3333,1.6667,2.1111,1.6667,0.4000,0.6667,1.0000,0.5556,0.5556,0.3333,3.2222,1.9333
2023321213.txt,243,7,18,10,7,3,3,13,27,34.7143,34.7143,24.3000,1.4286,2.5714,1.4286,0.3000,0.4286,1.0000,0.4286,1.8571,1.3000,3.8571,2.7000
2024313076.txt,234,8,17,12,9,3,3,4,29,29.2500,26.0000,19.5000,1.5000,1.8889,1.3333,0.2500,0.3333,1.1250,0.3333,0.4444,0.3333,3.2222,2.4167
2023324045.txt,177,16,26,23,17,6,5,1,20,11.0625,10.4118,7.6957,1.4375,1.5294,1.3529,0.2609,0.3529,1.0625,0.2941,0.0588,0.0435,1.1765,0.8696
